Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	2:17.93	Giulian Martin		15	200 BR LCM	FG	Hurricane Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
2	2:18.74	Jordan Willis		15	200 BR LCM	NC	SwimMAC Carolina	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
3	2:19.19	Noah Cakir		15	200 BR LCM	MR	Team Suffolk	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
4	2:20.41	Xavier Ruiz	Yes	15	200 BR LCM	CT	Ridgefield Aquatic Club	Puerto Rico International Swim	2022 Winter US Open (LCM)
5	2:21.28	John McNamara McNamara		15	200 BR LCM	FL	Bolles School Sharks	2022 Futures - Cary	2022 Winter US Open (LCM)
6	2:21.47	Norvin Clontz		15	200 BR LCM	NC	SwimMAC Carolina	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
7	2:21.49	Caden Wells	Yes	15	200 BR LCM	SE	McCallie / GPS Aquatics	2022 XXXV CARIFTA SWIMMING CHAMPIONSHIPS	2022 Summer Juniors (LCM)
8	2:21.72	Oleksandr Zholob		15	200 BR LCM	MA	Unattached	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
9	2:22.08	Jack Armour		15	200 BR LCM	NT	Texas Ford Aquatics	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
10	2:22.55	Eldad Zamir		15	200 BR LCM	FL	Bolles School Sharks	2022 FL BSS TYR June Classic	2023 Summer Juniors (LCM)
11	2:22.56	Finnley Conklin		15	200 BR LCM	WI	Oregon Community Swim Club	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
12	2:22.73	Keian Lam		15	200 BR LCM	IL	Fox Valley Swim Team	2022 MN USAS Speedo Meet	2022 Summer Juniors (LCM)
13	2:22.89	Nathan Wu		15	200 BR LCM	CA	Unattached	2022 CA MVN Fran Crippen SMOC	2022 Summer Juniors (LCM)
14	2:23.31	Carter Robertson		15	200 BR LCM	AM	Team Pittsburgh Elite Aquatics	2022 IN NCSA Summer Swimming Championship	2022 Winter Juniors (SCY)
15	2:23.37	Danzhel Tuliao		15	200 BR LCM	FL	Patriot Aquatics	2022 FL PA Long Course Invite	2022 Winter Juniors (SCY)
16	2:23.40	Gannon Flynn		15	200 BR LCM	ST	Nitro Swimming	2022 ST TXLA Speedo Southern Sectionals	2022 Winter Juniors (SCY)
17	2:23.54	Strahinja Maslo	Yes	15	200 BR LCM	MR	Long Island Aquatic Club	2022 IN NCSA Summer Swimming Championship	2022 Winter Juniors (SCY)
18	2:23.70	Cota Clise		15	200 BR LCM	PN	King Aquatic Club	2022 OR Speedo Sectionals - Mt Hood	2022 Winter Juniors (SCY)
19	2:23.88	Trevor Boodt		15	200 BR LCM	CO	Highlands Ranch Aquatics	2022 Futures - College Station	2022 Winter Juniors (SCY)
20	2:23.91	Michael Gorey		15	200 BR LCM	IN	Carmel Swim Club	2022 IN Spring Speedo Sectionals	2022 Winter Juniors (SCY)
21	2:24.11	Tony Laurito		15	200 BR LCM	GU	Aquastar	2022 ST TXLA Speedo Southern Sectionals	2022 Winter Juniors (SCY)
22	2:24.70	Daniel King		15	200 BR LCM	ST	Alamo Area Aquatic Association	2022 Futures - College Station	2022 Winter Juniors (SCY)
23	2:25.10	Jason Zhao		15	200 BR LCM	OHO	Mason Manta Rays	2022 NC SGSA Eastern Invitational	2023 Futures (LCM)
24	2:25.19	Tyler Tannenberger		15	200 BR LCM	GU	Swim Streamline at Northampton	2022 GU GULF Duel in the Pool	2022 Futures (LCM)
25	2:25.21	Spencer Ridge		15	200 BR LCM	VA	NOVA of Virginia Aquatics, Inc	2022 VA LC Senior Champs	2023 Futures (LCM)
26	2:25.33	Raphael Wang		15	200 BR LCM	ST	Waterloo Swimming	2022 Futures Championships - C	2023 Futures (LCM)
27	2:25.34	Jorell Melendez Figueroa		15	200 BR LCM	FG	Unattached	2022 NC Futures Championships Cary	2023 Futures (LCM)
28	2:25.36	John Franks		15	200 BR LCM	MR	Long Island Aquatic Club	2022 IN NCSA Summer Swimming Championship	2023 Futures (LCM)
29	2:25.60	Brock Russell		15	200 BR LCM	SD	Sioux Falls Swim Team	2022 MN Futures Championships Minnesota	2023 Futures (LCM)
30	2:25.66	Damien Figuet Kossyrev		15	200 BR LCM	NE	Gator Swim Club	2022 NE BGSC LCM Seniors	2022 Futures (LCM)
