Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	2:09.52	Katie Grimes		16	200 BK LCM	CA	Sandpipers Of Nevada	2022 TYR Pro Swim Series - Mis	2023 Summer Nationals (LCM)
2	2:11.26	Maggie Wanezek		16	200 BK LCM	WI	Elmbrook Swim Club	2022 Jr Pan Pacific Swimming Championships	2023 Summer Nationals (LCM)
3	2:12.07	Jojo Ramey		16	200 BK LCM	IN	Fishers Area Swimming Tigers	2022 WI Central Zone Section 1	2022 Summer Nationals (LCM)
4	2:13.03	Erika Pelaez		16	200 BK LCM	FG	Eagle Aquatics	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
5	2:13.61	Leah Hayes		16	200 BK LCM	IL	Fox Valley Park District Riptides	2022 IL LCM Senior Championships	2023 Summer Nationals (LCM)
6	2:13.70	Leah Shackley		16	200 BK LCM	AM	Blair Regional YMCA	2022 IN NCSA Summer Swimming Championship	2023 Summer Nationals (LCM)
7	2:13.84	Finley Anderson		16	200 BK LCM	CO	Univ of Denver Hilltoppers	2022 PC SCSC George Haines International	2022 Summer Nationals (LCM)
8	2:14.18	Emily Brown		16	200 BK LCM	OHO	Dublin Community Swim Team	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
9	2:14.54	Kayman Neal		16	200 BK LCM	NC	SwimMAC Carolina	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
10	2:14.68	Addison Sauickie		16	200 BK LCM	FL	Sarasota Sharks	2022 NC Futures Championships Cary	2022 Winter US Open (LCM)
11	2:15.33	Mira Keller		16	200 BK LCM	NI	STAR Swimming	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
12	2:15.64	Athena Meneses Kovacs	Yes	16	200 BK LCM	FG	Eagle Aquatics	1st Junior Pan American Games	2022 Winter US Open (LCM)
13	2:15.75	Levenia Sim	Yes	16	200 BK LCM	SE	TNT Swimming	2022 IN NCSA Summer Swimming Championship	2022 Winter US Open (LCM)
14	2:16.02	Molly Donlan		16	200 BK LCM	NC	SwimMAC Carolina	2022 IN Spring Speedo Sectionals	2022 Winter US Open (LCM)
15	2:16.14	Sydney Wilson		16	200 BK LCM	OR	Multnomah Athletic Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
16	2:16.65	Lexi Stephens		16	200 BK LCM	VA	Poseidon Swimming Inc	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
17	2:16.66	Molly Simmons		16	200 BK LCM	IN	Zionsville Swim Club	2022 Futures - Cary	2022 Winter US Open (LCM)
18	2:16.97	Ella Menear		16	200 BK LCM	WV	Club Mountaineer Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
19	2:17.20	Elizabeth Beam		16	200 BK LCM	WI	Schroeder YMCA Swim Team	2022 WI 13 & O LC State Meet	2022 Winter US Open (LCM)
20	2:17.35	Grace Wharton		16	200 BK LCM	CA	Irvine Novaquatics	2022 CA Los Angeles Invitational	2022 Winter US Open (LCM)
21	2:17.46	Elle Noecker		16	200 BK LCM	NI	Town Wreckers Swim Team	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
22	2:17.53	Sami Rydzewski		16	200 BK LCM	NC	Raleigh Swimming Association	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
23	2:17.72	Devyn Sargent		16	200 BK LCM	MA	Upper Main Line YMCA	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
24	2:17.78	Brooke Manning		16	200 BK LCM	FG	Unattached	2022 FL SZ South Sectionals Championships	2022 Summer Juniors (LCM)
25	2:17.81	Payton Foster		16	200 BK LCM	CT	Chelsea Piers Aquatic Club	2022 IN NCSA Summer Swimming Championship	2023 Summer Juniors (LCM)
26	2:17.90	Abby Dunford	Yes	16	200 BK LCM	CA	Sandpipers Of Nevada	2022 CA RMDA Road to 2022 LCM Finals	2022 Summer Juniors (LCM)
27	2:18.14	Adriana Smith		16	200 BK LCM	PC	Orinda Aquatics	2022 SN Summer CA-NV Sectional-CC	2023 Summer Juniors (LCM)
28	2:18.18	Kate Christian		16	200 BK LCM	ST	Longhorn Aquatics	2022 GU Texas Senior Circuit 3	2023 Summer Juniors (LCM)
29	2:18.33	Bella Sims		16	200 BK LCM	CA	Sandpipers Of Nevada	2022 CA TRA LCM Opener	2022 Winter Juniors (SCY)
29	2:18.33	Emily Thompson		16	200 BK LCM	NJ	Greater Somerset County YMCA Storm	2022 NC AP LC YMCA Nationals	2022 Winter Juniors (SCY)
31	2:18.50	Livia Venditti		16	200 BK LCM	PV	Rockville Montgomery Swim Club	2022 IN NCSA Summer Swimming Championships2	2022 Winter Juniors (SCY)
32	2:18.58	Mabel Koff		16	200 BK LCM	MD	North Baltimore Aquatic Club	2022 VA NOVA LC Winter Invitational	2022 Winter Juniors (SCY)
33	2:18.72	Maren Conze		16	200 BK LCM	PV	Nation's Capital Swim Club	2021 Toyota US Open Championship	2022 Winter Juniors (SCY)
34	2:18.80	Grace Albrecht		16	200 BK LCM	MI	Unattached	2022 IN MS 13-14 & Open ULTRA Summer	2022 Winter Juniors (SCY)
35	2:18.84	Grey Davis		16	200 BK LCM	VA	Cavalier Aquatics/Piedmont Family YMCA	2022 VA LC Senior Champs	2022 Winter Juniors (SCY)
36	2:18.86	Jilly MacNamara		16	200 BK LCM	IL	Academy Bullets Swim Club	2022 IN NCSA Summer Swimming Championships	2022 Winter Juniors (SCY)
37	2:18.91	Elise nardozzi		16	200 BK LCM	AM	Team Pittsburgh Elite Aquatics	2022 AM LC Eastern Zone SR Championship	2022 Winter Juniors (SCY)
37	2:18.91	Avery Mehok		16	200 BK LCM	ST	Nitro Swimming	2022 ST TXLA Speedo Southern Sectionals	2022 Winter Juniors (SCY)
39	2:19.11	Payden Rafferty		16	200 BK LCM	IA	Greater Des Moines YMCA	2022 IA Long Course Championships	2022 Winter Juniors (SCY)
